client_id,emp_var_rate,cons_price_idx,euribor_three_months,number_employed,y
0,1.1,93.994,4.857,5191.0,no
1,1.1,93.994,4.857,5191.0,no
2,1.1,93.994,4.857,5191.0,no
3,1.1,93.994,4.857,5191.0,no
4,1.1,93.994,4.857,5191.0,no
5,1.1,93.994,4.857,5191.0,no
6,1.1,93.994,4.857,5191.0,no
7,1.1,93.994,4.857,5191.0,no
8,1.1,93.994,4.857,5191.0,no
9,1.1,93.994,4.857,5191.0,no
10,1.1,93.994,4.857,5191.0,no
11,1.1,93.994,4.857,5191.0,no
12,1.1,93.994,4.857,5191.0,no
13,1.1,93.994,4.857,5191.0,no
14,1.1,93.994,4.857,5191.0,no
15,1.1,93.994,4.857,5191.0,no
16,1.1,93.994,4.857,5191.0,no
17,1.1,93.994,4.857,5191.0,no
18,1.1,93.994,4.857,5191.0,no
19,1.1,93.994,4.857,5191.0,no
20,1.1,93.994,4.857,5191.0,no
21,1.1,93.994,4.857,5191.0,no
22,1.1,93.994,4.857,5191.0,no
23,1.1,93.994,4.857,5191.0,no
24,1.1,93.994,4.857,5191.0,no
25,1.1,93.994,4.857,5191.0,no
26,1.1,93.994,4.857,5191.0,no
27,1.1,93.994,4.857,5191.0,no
28,1.1,93.994,4.857,5191.0,no
29,1.1,93.994,4.857,5191.0,no
30,1.1,93.994,4.857,5191.0,no
31,1.1,93.994,4.857,5191.0,no
32,1.1,93.994,4.857,5191.0,no
33,1.1,93.994,4.857,5191.0,no
34,1.1,93.994,4.857,5191.0,no
35,1.1,93.994,4.857,5191.0,no
36,1.1,93.994,4.857,5191.0,no
37,1.1,93.994,4.857,5191.0,no
38,1.1,93.994,4.857,5191.0,no
39,1.1,93.994,4.857,5191.0,no
40,1.1,93.994,4.857,5191.0,no
41,1.1,93.994,4.857,5191.0,no
42,1.1,93.994,4.857,5191.0,no
43,1.1,93.994,4.857,5191.0,no
44,1.1,93.994,4.857,5191.0,no
45,1.1,93.994,4.857,5191.0,no
46,1.1,93.994,4.857,5191.0,no
47,1.1,93.994,4.857,5191.0,no
48,1.1,93.994,4.857,5191.0,no
49,1.1,93.994,4.857,5191.0,no
50,1.1,93.994,4.857,5191.0,no
51,1.1,93.994,4.857,5191.0,no
52,1.1,93.994,4.857,5191.0,no
53,1.1,93.994,4.857,5191.0,no
54,1.1,93.994,4.857,5191.0,no
55,1.1,93.994,4.857,5191.0,no
56,1.1,93.994,4.857,5191.0,no
57,1.1,93.994,4.857,5191.0,no
58,1.1,93.994,4.857,5191.0,no
59,1.1,93.994,4.857,5191.0,no
60,1.1,93.994,4.857,5191.0,no
61,1.1,93.994,4.857,5191.0,no
62,1.1,93.994,4.857,5191.0,no
63,1.1,93.994,4.857,5191.0,no
64,1.1,93.994,4.857,5191.0,no
65,1.1,93.994,4.857,5191.0,no
66,1.1,93.994,4.857,5191.0,no
67,1.1,93.994,4.857,5191.0,no
68,1.1,93.994,4.857,5191.0,no
69,1.1,93.994,4.857,5191.0,no
70,1.1,93.994,4.857,5191.0,no
71,1.1,93.994,4.857,5191.0,no
72,1.1,93.994,4.857,5191.0,no
73,1.1,93.994,4.857,5191.0,no
74,1.1,93.994,4.857,5191.0,no
75,1.1,93.994,4.857,5191.0,yes
76,1.1,93.994,4.857,5191.0,no
77,1.1,93.994,4.857,5191.0,no
78,1.1,93.994,4.857,5191.0,no
79,1.1,93.994,4.857,5191.0,no
80,1.1,93.994,4.857,5191.0,no
81,1.1,93.994,4.857,5191.0,no
82,1.1,93.994,4.857,5191.0,no
83,1.1,93.994,4.857,5191.0,yes
84,1.1,93.994,4.857,5191.0,no
85,1.1,93.994,4.857,5191.0,no
86,1.1,93.994,4.857,5191.0,no
87,1.1,93.994,4.857,5191.0,no
88,1.1,93.994,4.857,5191.0,yes
89,1.1,93.994,4.857,5191.0,no
90,1.1,93.994,4.857,5191.0,no
91,1.1,93.994,4.857,5191.0,no
92,1.1,93.994,4.857,5191.0,no
93,1.1,93.994,4.857,5191.0,no
94,1.1,93.994,4.857,5191.0,no
95,1.1,93.994,4.857,5191.0,no
96,1.1,93.994,4.857,5191.0,no
97,1.1,93.994,4.857,5191.0,no
98,1.1,93.994,4.857,5191.0,no
99,1.1,93.994,4.857,5191.0,no
100,1.1,93.994,4.857,5191.0,no
101,1.1,93.994,4.857,5191.0,no
102,1.1,93.994,4.857,5191.0,no
103,1.1,93.994,4.857,5191.0,no
104,1.1,93.994,4.857,5191.0,no
105,1.1,93.994,4.857,5191.0,no
106,1.1,93.994,4.857,5191.0,no
107,1.1,93.994,4.857,5191.0,no
108,1.1,93.994,4.857,5191.0,no
109,1.1,93.994,4.857,5191.0,no
110,1.1,93.994,4.857,5191.0,no
111,1.1,93.994,4.857,5191.0,no
112,1.1,93.994,4.857,5191.0,no
113,1.1,93.994,4.857,5191.0,no
114,1.1,93.994,4.857,5191.0,no
115,1.1,93.994,4.857,5191.0,no
116,1.1,93.994,4.857,5191.0,no
117,1.1,93.994,4.857,5191.0,no
118,1.1,93.994,4.857,5191.0,no
119,1.1,93.994,4.857,5191.0,no
120,1.1,93.994,4.857,5191.0,no
121,1.1,93.994,4.857,5191.0,no
122,1.1,93.994,4.857,5191.0,no
123,1.1,93.994,4.857,5191.0,no
124,1.1,93.994,4.857,5191.0,no
125,1.1,93.994,4.857,5191.0,no
126,1.1,93.994,4.857,5191.0,no
127,1.1,93.994,4.857,5191.0,no
128,1.1,93.994,4.857,5191.0,no
129,1.1,93.994,4.857,5191.0,yes
130,1.1,93.994,4.857,5191.0,no
131,1.1,93.994,4.857,5191.0,no
132,1.1,93.994,4.857,5191.0,no
133,1.1,93.994,4.857,5191.0,no
134,1.1,93.994,4.857,5191.0,no
135,1.1,93.994,4.857,5191.0,no
136,1.1,93.994,4.857,5191.0,no
137,1.1,93.994,4.857,5191.0,no
138,1.1,93.994,4.857,5191.0,no
139,1.1,93.994,4.857,5191.0,yes
140,1.1,93.994,4.857,5191.0,no
141,1.1,93.994,4.857,5191.0,no
142,1.1,93.994,4.857,5191.0,no
143,1.1,93.994,4.857,5191.0,no
144,1.1,93.994,4.857,5191.0,no
145,1.1,93.994,4.857,5191.0,no
146,1.1,93.994,4.857,5191.0,no
147,1.1,93.994,4.857,5191.0,no
148,1.1,93.994,4.857,5191.0,no
149,1.1,93.994,4.857,5191.0,no
150,1.1,93.994,4.857,5191.0,no
151,1.1,93.994,4.857,5191.0,no
152,1.1,93.994,4.857,5191.0,no
153,1.1,93.994,4.857,5191.0,no
154,1.1,93.994,4.857,5191.0,no
155,1.1,93.994,4.857,5191.0,no
156,1.1,93.994,4.857,5191.0,no
157,1.1,93.994,4.857,5191.0,no
158,1.1,93.994,4.857,5191.0,no
159,1.1,93.994,4.857,5191.0,no
160,1.1,93.994,4.857,5191.0,no
161,1.1,93.994,4.857,5191.0,no
162,1.1,93.994,4.857,5191.0,no
163,1.1,93.994,4.857,5191.0,no
164,1.1,93.994,4.857,5191.0,no
165,1.1,93.994,4.857,5191.0,no
166,1.1,93.994,4.857,5191.0,no
167,1.1,93.994,4.857,5191.0,no
168,1.1,93.994,4.857,5191.0,no
169,1.1,93.994,4.857,5191.0,no
170,1.1,93.994,4.857,5191.0,no
171,1.1,93.994,4.857,5191.0,no
172,1.1,93.994,4.857,5191.0,no
173,1.1,93.994,4.857,5191.0,no
174,1.1,93.994,4.857,5191.0,no
175,1.1,93.994,4.857,5191.0,no
176,1.1,93.994,4.857,5191.0,no
177,1.1,93.994,4.857,5191.0,no
178,1.1,93.994,4.857,5191.0,no
179,1.1,93.994,4.857,5191.0,no
180,1.1,93.994,4.857,5191.0,no
181,1.1,93.994,4.857,5191.0,no
182,1.1,93.994,4.857,5191.0,yes
183,1.1,93.994,4.857,5191.0,no
184,1.1,93.994,4.857,5191.0,no
185,1.1,93.994,4.857,5191.0,no
186,1.1,93.994,4.857,5191.0,no
187,1.1,93.994,4.857,5191.0,no
188,1.1,93.994,4.857,5191.0,no
189,1.1,93.994,4.857,5191.0,no
190,1.1,93.994,4.857,5191.0,no
191,1.1,93.994,4.857,5191.0,no
192,1.1,93.994,4.857,5191.0,no
193,1.1,93.994,4.857,5191.0,no
194,1.1,93.994,4.857,5191.0,no
195,1.1,93.994,4.857,5191.0,no
196,1.1,93.994,4.857,5191.0,no
197,1.1,93.994,4.857,5191.0,no
198,1.1,93.994,4.857,5191.0,no
199,1.1,93.994,4.857,5191.0,no
200,1.1,93.994,4.857,5191.0,no
201,1.1,93.994,4.857,5191.0,no
202,1.1,93.994,4.857,5191.0,no
203,1.1,93.994,4.857,5191.0,no
204,1.1,93.994,4.857,5191.0,no
205,1.1,93.994,4.857,5191.0,no
206,1.1,93.994,4.857,5191.0,no
207,1.1,93.994,4.857,5191.0,no
208,1.1,93.994,4.857,5191.0,no
209,1.1,93.994,4.857,5191.0,no
210,1.1,93.994,4.857,5191.0,no
211,1.1,93.994,4.857,5191.0,no
212,1.1,93.994,4.857,5191.0,no
213,1.1,93.994,4.857,5191.0,no
214,1.1,93.994,4.857,5191.0,no
215,1.1,93.994,4.857,5191.0,no
216,1.1,93.994,4.857,5191.0,no
217,1.1,93.994,4.857,5191.0,no
218,1.1,93.994,4.857,5191.0,no
219,1.1,93.994,4.857,5191.0,no
220,1.1,93.994,4.857,5191.0,no
221,1.1,93.994,4.857,5191.0,no
222,1.1,93.994,4.857,5191.0,no
223,1.1,93.994,4.857,5191.0,no
224,1.1,93.994,4.857,5191.0,no
225,1.1,93.994,4.857,5191.0,no
226,1.1,93.994,4.857,5191.0,no
227,1.1,93.994,4.857,5191.0,no
228,1.1,93.994,4.857,5191.0,no
229,1.1,93.994,4.857,5191.0,no
230,1.1,93.994,4.857,5191.0,no
231,1.1,93.994,4.857,5191.0,no
232,1.1,93.994,4.857,5191.0,no
233,1.1,93.994,4.857,5191.0,no
234,1.1,93.994,4.857,5191.0,no
235,1.1,93.994,4.857,5191.0,no
236,1.1,93.994,4.857,5191.0,no
237,1.1,93.994,4.857,5191.0,no
238,1.1,93.994,4.857,5191.0,no
239,1.1,93.994,4.857,5191.0,no
240,1.1,93.994,4.857,5191.0,no
241,1.1,93.994,4.857,5191.0,no
242,1.1,93.994,4.857,5191.0,no
243,1.1,93.994,4.857,5191.0,no
244,1.1,93.994,4.857,5191.0,no
245,1.1,93.994,4.857,5191.0,no
246,1.1,93.994,4.857,5191.0,no
247,1.1,93.994,4.857,5191.0,no
248,1.1,93.994,4.857,5191.0,no
249,1.1,93.994,4.857,5191.0,no
250,1.1,93.994,4.857,5191.0,no
251,1.1,93.994,4.857,5191.0,no
252,1.1,93.994,4.857,5191.0,no
253,1.1,93.994,4.857,5191.0,no
254,1.1,93.994,4.857,5191.0,no
255,1.1,93.994,4.857,5191.0,no
256,1.1,93.994,4.857,5191.0,no
257,1.1,93.994,4.857,5191.0,no
258,1.1,93.994,4.857,5191.0,no
259,1.1,93.994,4.857,5191.0,no
260,1.1,93.994,4.857,5191.0,no
261,1.1,93.994,4.857,5191.0,no
262,1.1,93.994,4.857,5191.0,no
263,1.1,93.994,4.857,5191.0,no
264,1.1,93.994,4.857,5191.0,no
265,1.1,93.994,4.857,5191.0,no
266,1.1,93.994,4.857,5191.0,no
267,1.1,93.994,4.857,5191.0,no
268,1.1,93.994,4.857,5191.0,no
269,1.1,93.994,4.857,5191.0,no
270,1.1,93.994,4.857,5191.0,no
271,1.1,93.994,4.857,5191.0,no
272,1.1,93.994,4.857,5191.0,no
273,1.1,93.994,4.857,5191.0,no
274,1.1,93.994,4.857,5191.0,no
275,1.1,93.994,4.857,5191.0,no
276,1.1,93.994,4.857,5191.0,no
277,1.1,93.994,4.857,5191.0,no
278,1.1,93.994,4.857,5191.0,no
279,1.1,93.994,4.857,5191.0,no
280,1.1,93.994,4.857,5191.0,no
281,1.1,93.994,4.857,5191.0,no
282,1.1,93.994,4.857,5191.0,no
283,1.1,93.994,4.857,5191.0,no
284,1.1,93.994,4.857,5191.0,no
285,1.1,93.994,4.857,5191.0,no
286,1.1,93.994,4.857,5191.0,yes
287,1.1,93.994,4.857,5191.0,no
288,1.1,93.994,4.857,5191.0,no
289,1.1,93.994,4.857,5191.0,no
290,1.1,93.994,4.857,5191.0,no
291,1.1,93.994,4.857,5191.0,no
292,1.1,93.994,4.857,5191.0,no
293,1.1,93.994,4.857,5191.0,no
294,1.1,93.994,4.857,5191.0,no
295,1.1,93.994,4.857,5191.0,no
296,1.1,93.994,4.857,5191.0,no
297,1.1,93.994,4.857,5191.0,no
298,1.1,93.994,4.857,5191.0,no
299,1.1,93.994,4.857,5191.0,no
300,1.1,93.994,4.857,5191.0,no
301,1.1,93.994,4.857,5191.0,no
302,1.1,93.994,4.857,5191.0,no
